Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.0,ldp,1,0.7743055555555556
lactose,chi2,flipping,0.0,ldp,2,0.7395833333333334
lactose,chi2,flipping,0.0,ldp,2,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,3,0.7708333333333334
lactose,chi2,flipping,0.0,ldp,1,0.75
lactose,chi2,flipping,0.0,ldp,1,0.7083333333333334
lactose,chi2,flipping,0.0,ldp,1,0.7291666666666666
lactose,chi2,flipping,0.0,ldp,3,0.7534722222222222
lactose,chi2,flipping,0.0,ldp,1,0.7743055555555556
lactose,chi2,flipping,0.0,ldp,2,0.7395833333333334
lactose,chi2,flipping,0.0,ldp,1,0.7534722222222222
lactose,chi2,flipping,0.0,ldp,3,0.7430555555555556
lactose,chi2,flipping,0.0,ldp,2,0.75
lactose,chi2,flipping,0.0,ldp,2,0.7847222222222222
lactose,chi2,flipping,0.0,ldp,1,0.7534722222222222
lactose,chi2,flipping,0.0,ldp,1,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,2,0.7291666666666666
lactose,chi2,flipping,0.0,ldp,1,0.7569444444444444
lactose,chi2,flipping,0.0,ldp,1,0.7256944444444444
lactose,chi2,flipping,0.0,ldp,3,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,2,0.6875
lactose,chi2,flipping,0.0,ldp,2,0.7430555555555556
lactose,chi2,flipping,0.0,ldp,2,0.7361111111111112
lactose,chi2,flipping,0.0,ldp,2,0.7465277777777778
lactose,chi2,flipping,0.1,ldp,1,0.04500619249823079
lactose,chi2,flipping,0.1,ldp,2,0.035761677282378
lactose,chi2,flipping,0.1,ldp,2,0.04821302193913668
lactose,chi2,flipping,0.1,ldp,3,0.047903397027600936
lactose,chi2,flipping,0.1,ldp,1,0.055732484076433164
lactose,chi2,flipping,0.1,ldp,1,0.014065817409766534
lactose,chi2,flipping,0.1,ldp,3,0.03691171266808213
lactose,chi2,flipping,0.1,ldp,1,0.047638004246284504
lactose,chi2,flipping,0.1,ldp,1,0.04819090587402697
lactose,chi2,flipping,0.1,ldp,2,0.05168524416135889
lactose,chi2,flipping,0.1,ldp,2,0.0366242038216561
lactose,chi2,flipping,0.1,ldp,1,0.020988145789101242
lactose,chi2,flipping,0.1,ldp,3,0.05197275300778492
lactose,chi2,flipping,0.1,ldp,1,0.025920028308563436
lactose,chi2,flipping,0.1,ldp,2,0.04268400566171271
lactose,chi2,flipping,0.1,ldp,1,0.04356864826610052
lactose,chi2,flipping,0.1,ldp,3,0.03865888181174815
lactose,chi2,flipping,0.1,ldp,2,0.034899150743099794
lactose,chi2,flipping,0.1,ldp,1,0.044165782024062294
lactose,chi2,flipping,0.1,ldp,1,0.03691171266808213
lactose,chi2,flipping,0.1,ldp,2,0.04907554847841478
lactose,chi2,flipping,0.1,ldp,2,0.03923389950460021
lactose,chi2,flipping,0.1,ldp,2,0.031449044585987296
lactose,chi2,flipping,0.1,ldp,2,0.03547416843595197
lactose,chi2,flipping,0.2,ldp,1,0.09107574189095935
lactose,chi2,flipping,0.2,ldp,2,0.09051501035196696
lactose,chi2,flipping,0.2,ldp,2,0.07462042788129752
lactose,chi2,flipping,0.2,ldp,3,0.10002587991718426
lactose,chi2,flipping,0.2,ldp,1,0.08721532091097317
lactose,chi2,flipping,0.2,ldp,1,0.1071428571428571
lactose,chi2,flipping,0.2,ldp,3,0.09819271911663219
lactose,chi2,flipping,0.2,ldp,1,0.08320393374741197
lactose,chi2,flipping,0.2,ldp,2,0.11024844720496896
lactose,chi2,flipping,0.2,ldp,1,0.09728692201518296
lactose,chi2,flipping,0.2,ldp,2,0.07498706004140787
lactose,chi2,flipping,0.2,ldp,1,0.10129830917874394
lactose,chi2,flipping,0.2,ldp,2,0.07664768806073152
lactose,chi2,flipping,0.2,ldp,3,0.0846704623878537
lactose,chi2,flipping,0.2,ldp,1,0.0901483781918565
lactose,chi2,flipping,0.2,ldp,3,0.08393719806763289
lactose,chi2,flipping,0.2,ldp,1,0.06129227053140096
lactose,chi2,flipping,0.2,ldp,2,0.08009834368530022
lactose,chi2,flipping,0.2,ldp,1,0.10129830917874394
lactose,chi2,flipping,0.2,ldp,2,0.09435386473429952
lactose,chi2,flipping,0.2,ldp,1,0.09525966183574874
lactose,chi2,flipping,0.2,ldp,2,0.0846704623878537
lactose,chi2,flipping,0.2,ldp,2,0.07880434782608692
lactose,chi2,flipping,0.2,ldp,2,0.0901483781918565
lactose,chi2,flipping,0.3,ldp,1,0.07460585585585588
lactose,chi2,flipping,0.3,ldp,2,0.07591966966966968
lactose,chi2,flipping,0.3,ldp,2,0.06944444444444453
lactose,chi2,flipping,0.3,ldp,3,0.0801426426426427
lactose,chi2,flipping,0.3,ldp,1,0.06268768768768773
lactose,chi2,flipping,0.3,ldp,1,0.06831831831831836
lactose,chi2,flipping,0.3,ldp,3,0.04176051051051055
lactose,chi2,flipping,0.3,ldp,1,0.050487987987987926
lactose,chi2,flipping,0.3,ldp,2,0.04588963963963966
lactose,chi2,flipping,0.3,ldp,1,0.06259384384384392
lactose,chi2,flipping,0.3,ldp,2,0.0863363363363363
lactose,chi2,flipping,0.3,ldp,2,0.0700075075075075
lactose,chi2,flipping,0.3,ldp,1,0.06578453453453448
lactose,chi2,flipping,0.3,ldp,3,0.05236486486486491
lactose,chi2,flipping,0.3,ldp,3,0.06343843843843844
lactose,chi2,flipping,0.3,ldp,1,0.07545045045045051
lactose,chi2,flipping,0.3,ldp,1,0.0632507507507507
lactose,chi2,flipping,0.3,ldp,1,0.07179054054054057
lactose,chi2,flipping,0.3,ldp,2,0.08051801801801795
lactose,chi2,flipping,0.3,ldp,2,0.07085210210210213
lactose,chi2,flipping,0.3,ldp,1,0.06503378378378377
lactose,chi2,flipping,0.3,ldp,2,0.07638888888888895
lactose,chi2,flipping,0.3,ldp,2,0.030405405405405483
lactose,chi2,flipping,0.3,ldp,2,0.03584834834834838
lactose,chi2,flipping,0.4,ldp,1,0.09288962635201581
lactose,chi2,flipping,0.4,ldp,2,0.1230641592920354
lactose,chi2,flipping,0.4,ldp,2,0.08419370698131767
lactose,chi2,flipping,0.4,ldp,3,0.0982669616519174
lactose,chi2,flipping,0.4,ldp,1,0.08886430678466084
lactose,chi2,flipping,0.4,ldp,1,0.09218289085545728
lactose,chi2,flipping,0.4,ldp,1,0.06544985250737456
lactose,chi2,flipping,0.4,ldp,3,0.11630408062930186
lactose,chi2,flipping,0.4,ldp,2,0.09651548672566379
lactose,chi2,flipping,0.4,ldp,2,0.0892330383480826
lactose,chi2,flipping,0.4,ldp,1,0.09878933136676504
lactose,chi2,flipping,0.4,ldp,2,0.12985496558505405
lactose,chi2,flipping,0.4,ldp,1,0.11040437561455263
lactose,chi2,flipping,0.4,ldp,3,0.09894296951819082
lactose,chi2,flipping,0.4,ldp,3,0.06753933136676504
lactose,chi2,flipping,0.4,ldp,1,0.09599311701081614
lactose,chi2,flipping,0.4,ldp,1,0.09565511307767949
lactose,chi2,flipping,0.4,ldp,1,0.10207718780727626
lactose,chi2,flipping,0.4,ldp,2,0.07724926253687314
lactose,chi2,flipping,0.4,ldp,2,0.06806170108161258
lactose,chi2,flipping,0.4,ldp,1,0.0855764503441494
lactose,chi2,flipping,0.4,ldp,2,0.10484267453294005
lactose,chi2,flipping,0.4,ldp,2,0.12358652900688305
lactose,chi2,flipping,0.4,ldp,2,0.08278023598820061
lactose,chi2,flipping,0.5,ldp,1,0.14573412698412702
lactose,chi2,flipping,0.5,ldp,2,0.1367261904761905
lactose,chi2,flipping,0.5,ldp,3,0.1679761904761905
lactose,chi2,flipping,0.5,ldp,2,0.14468253968253975
lactose,chi2,flipping,0.5,ldp,1,0.1311904761904762
lactose,chi2,flipping,0.5,ldp,1,0.14142857142857146
lactose,chi2,flipping,0.5,ldp,1,0.14916666666666667
lactose,chi2,flipping,0.5,ldp,2,0.13101190476190483
lactose,chi2,flipping,0.5,ldp,3,0.13347222222222221
lactose,chi2,flipping,0.5,ldp,2,0.1557142857142857
lactose,chi2,flipping,0.5,ldp,1,0.1028769841269842
lactose,chi2,flipping,0.5,ldp,2,0.15615079365079365
lactose,chi2,flipping,0.5,ldp,1,0.13918650793650789
lactose,chi2,flipping,0.5,ldp,3,0.11896825396825406
lactose,chi2,flipping,0.5,ldp,1,0.12468253968253973
lactose,chi2,flipping,0.5,ldp,1,0.13061507936507932
lactose,chi2,flipping,0.5,ldp,3,0.12876984126984126
lactose,chi2,flipping,0.5,ldp,2,0.1148809523809523
lactose,chi2,flipping,0.5,ldp,1,0.15408730158730155
lactose,chi2,flipping,0.5,ldp,2,0.12938492063492069
lactose,chi2,flipping,0.5,ldp,1,0.12569444444444444
lactose,chi2,flipping,0.5,ldp,2,0.16019841269841273
lactose,chi2,flipping,0.5,ldp,2,0.1303968253968254
lactose,chi2,flipping,0.5,ldp,2,0.12464285714285717
lactose,chi2,flipping,0.6,ldp,1,0.1950847763347764
lactose,chi2,flipping,0.6,ldp,3,0.20200216450216457
lactose,chi2,flipping,0.6,ldp,2,0.19672619047619055
lactose,chi2,flipping,0.6,ldp,1,0.16807359307359315
lactose,chi2,flipping,0.6,ldp,1,0.20974025974025978
lactose,chi2,flipping,0.6,ldp,2,0.16987734487734496
lactose,chi2,flipping,0.6,ldp,2,0.1941558441558442
lactose,chi2,flipping,0.6,ldp,2,0.19672619047619055
lactose,chi2,flipping,0.6,ldp,2,0.20809884559884562
lactose,chi2,flipping,0.6,ldp,1,0.22105880230880237
lactose,chi2,flipping,0.6,ldp,3,0.17425144300144302
lactose,chi2,flipping,0.6,ldp,1,0.14215367965367964
lactose,chi2,flipping,0.6,ldp,1,0.1976280663780664
lactose,chi2,flipping,0.6,ldp,2,0.14475108225108224
lactose,chi2,flipping,0.6,ldp,1,0.20104617604617614
lactose,chi2,flipping,0.6,ldp,1,0.19330808080808082
lactose,chi2,flipping,0.6,ldp,2,0.1699044011544012
lactose,chi2,flipping,0.6,ldp,3,0.19760101010101017
lactose,chi2,flipping,0.6,ldp,3,0.17766955266955275
lactose,chi2,flipping,0.6,ldp,1,0.24438131313131317
lactose,chi2,flipping,0.6,ldp,1,0.180239898989899
lactose,chi2,flipping,0.6,ldp,2,0.17941919191919198
lactose,chi2,flipping,0.6,ldp,2,0.17321428571428577
lactose,chi2,flipping,0.6,ldp,2,0.18805916305916315
lactose,chi2,flipping,0.7,ldp,1,0.23233912869704243
lactose,chi2,flipping,0.7,ldp,3,0.20968225419664277
lactose,chi2,flipping,0.7,ldp,2,0.22399580335731417
lactose,chi2,flipping,0.7,ldp,1,0.13998800959232616
lactose,chi2,flipping,0.7,ldp,1,0.24400479616306958
lactose,chi2,flipping,0.7,ldp,2,0.20563549160671468
lactose,chi2,flipping,0.7,ldp,2,0.21572741806554763
lactose,chi2,flipping,0.7,ldp,2,0.21919964028776984
lactose,chi2,flipping,0.7,ldp,2,0.23316346922462028
lactose,chi2,flipping,0.7,ldp,1,0.2419314548361311
lactose,chi2,flipping,0.7,ldp,3,0.2091077138289369
lactose,chi2,flipping,0.7,ldp,2,0.19439448441246998
lactose,chi2,flipping,0.7,ldp,1,0.1848021582733813
lactose,chi2,flipping,0.7,ldp,1,0.1995153876898481
lactose,chi2,flipping,0.7,ldp,1,0.20373701039168668
lactose,chi2,flipping,0.7,ldp,1,0.21737609912070344
lactose,chi2,flipping,0.7,ldp,2,0.18058053557154274
lactose,chi2,flipping,0.7,ldp,3,0.18455235811350923
lactose,chi2,flipping,0.7,ldp,3,0.2178756994404477
lactose,chi2,flipping,0.7,ldp,1,0.22829236610711434
lactose,chi2,flipping,0.7,ldp,1,0.17653377298161466
lactose,chi2,flipping,0.7,ldp,2,0.21307953637090327
lactose,chi2,flipping,0.7,ldp,2,0.15032973621103118
lactose,chi2,flipping,0.7,ldp,2,0.2181254996003198
lactose,chi2,flipping,0.8,ldp,1,0.1924873737373738
lactose,chi2,flipping,0.8,ldp,3,0.1708333333333334
lactose,chi2,flipping,0.8,ldp,2,0.20192099567099575
lactose,chi2,flipping,0.8,ldp,1,0.16547619047619055
lactose,chi2,flipping,0.8,ldp,2,0.21753246753246758
lactose,chi2,flipping,0.8,ldp,1,0.1785714285714286
lactose,chi2,flipping,0.8,ldp,2,0.19585137085137094
lactose,chi2,flipping,0.8,ldp,2,0.2158910533910534
