Dataset,GWAS Type,Error Type,Error Rate,Approach,Epsilon,Retention Ratio
lactose,chi2,flipping,0.0,proposed_dp_maf,1.0,0.5486111111111112
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.53125
lactose,chi2,flipping,0.0,proposed_dp_maf,1.0,0.5173611111111112
lactose,chi2,flipping,0.0,proposed_dp_maf,1.0,0.53125
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5625
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5625
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5555555555555556
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5902777777777778
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5763888888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,1.0,0.5763888888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5902777777777778
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5763888888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5763888888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5555555555555556
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5381944444444444
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5451388888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5520833333333334
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5694444444444444
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5902777777777778
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.6006944444444444
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5798611111111112
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5902777777777778
lactose,chi2,flipping,0.0,proposed_dp_maf,0.1,0.5763888888888888
lactose,chi2,flipping,0.0,proposed_dp_maf,0.5,0.5451388888888888
lactose,chi2,flipping,0.1,proposed_dp_maf,1.0,0.05986513040371566
lactose,chi2,flipping,0.1,proposed_dp_maf,0.5,0.05858118971061094
lactose,chi2,flipping,0.1,proposed_dp_maf,1.0,0.0672003394069311
lactose,chi2,flipping,0.1,proposed_dp_maf,1.0,0.05858118971061094
lactose,chi2,flipping,0.1,proposed_dp_maf,0.5,0.05767684887459812
lactose,chi2,flipping,0.1,proposed_dp_maf,0.1,0.030792247231154035
lactose,chi2,flipping,0.1,proposed_dp_maf,0.5,0.07696945337620581
lactose,chi2,flipping,0.1,proposed_dp_maf,1.0,0.07156573776348696
lactose,chi2,flipping,0.1,proposed_dp_maf,0.1,0.03143979992854595
