Dataset,Epsilon,Approach,Utility Metric,Utility
hair,1,ldp,point_error,0.2226381936308446
hair,1,ldp,point_error,0.2216263712855469
hair,1,ldp,point_error,0.2217843575815671
hair,1,ldp,point_error,0.22295239109596335
hair,1,ldp,point_error,0.2225760641885895
hair,1,ldp,point_error,0.22252103525402067
hair,1,ldp,point_error,0.22185713778535165
hair,1,ldp,point_error,0.22159441900095858
hair,1,ldp,point_error,0.2228441083537473
hair,1,ldp,point_error,0.2210689814321724
hair,2,ldp,point_error,0.222256541342706
hair,2,ldp,point_error,0.222315120531118
hair,2,ldp,point_error,0.22257073880782477
hair,2,ldp,point_error,0.2238754570951823
hair,2,ldp,point_error,0.22214825860048992
hair,2,ldp,point_error,0.22260624134625626
hair,2,ldp,point_error,0.22213405758511734
hair,2,ldp,point_error,0.22158731849327226
hair,2,ldp,point_error,0.22188021443533212
hair,2,ldp,point_error,0.22211453118898
hair,3,ldp,point_error,0.22196187027372458
hair,3,ldp,point_error,0.22124826925125146
hair,3,ldp,point_error,0.22290446266908084
hair,3,ldp,point_error,0.22220151240813718
hair,3,ldp,point_error,0.221734654027763
hair,3,ldp,point_error,0.22125714488585935
hair,3,ldp,point_error,0.22298256825363014
hair,3,ldp,point_error,0.221747079916214
hair,3,ldp,point_error,0.22104590478219194
hair,3,ldp,point_error,0.2225263606347854
hair,4,ldp,point_error,0.22247310682713814
hair,4,ldp,point_error,0.2213956047857422
hair,4,ldp,point_error,0.22272872510384492
hair,4,ldp,point_error,0.22270742358078602
hair,4,ldp,point_error,0.22205062661980332
hair,4,ldp,point_error,0.22294884084212022
hair,4,ldp,point_error,0.2222654169773139
hair,4,ldp,point_error,0.22222636418503924
hair,4,ldp,point_error,0.22130152305889872
hair,4,ldp,point_error,0.2222920438811375
hair,5,ldp,point_error,0.22186423829303795
hair,5,ldp,point_error,0.22260801647317782
hair,5,ldp,point_error,0.22210210530052898
hair,5,ldp,point_error,0.2209056697553875
hair,5,ldp,point_error,0.22340504846096496
hair,5,ldp,point_error,0.22281925657684523
hair,5,ldp,point_error,0.22285475911527675
hair,5,ldp,point_error,0.22151986367025242
hair,5,ldp,point_error,0.22198494692370505
hair,5,ldp,point_error,0.22271452408847234
hair,1,ldp,calc_sample_distance,0.30800759754322443
hair,1,ldp,calc_sample_distance,0.3057638371143536
hair,1,ldp,calc_sample_distance,0.30596620158341314
hair,1,ldp,calc_sample_distance,0.308176234600774
hair,1,ldp,calc_sample_distance,0.30722654169773134
hair,1,ldp,calc_sample_distance,0.30708630667092696
hair,1,ldp,calc_sample_distance,0.30664252494053323
hair,1,ldp,calc_sample_distance,0.3057070330528633
hair,1,ldp,calc_sample_distance,0.30760464373202673
hair,1,ldp,calc_sample_distance,0.30554727162992157
hair,2,ldp,calc_sample_distance,0.3077058259665566
hair,2,ldp,calc_sample_distance,0.30693364575567156
