Dataset,Epsilon,Approach,Utility Metric,Utility
DATASET.hair,1,ldp,point_error,0.2226381936308446
DATASET.hair,1,ldp,point_error,0.2216263712855469
DATASET.hair,1,ldp,point_error,0.2217843575815671
DATASET.hair,1,ldp,point_error,0.22295239109596335
DATASET.hair,1,ldp,point_error,0.2225760641885895
DATASET.hair,1,ldp,point_error,0.22252103525402067
DATASET.hair,1,ldp,point_error,0.22185713778535165
DATASET.hair,1,ldp,point_error,0.22159441900095858
DATASET.hair,1,ldp,point_error,0.2228441083537473
DATASET.hair,1,ldp,point_error,0.2210689814321724
DATASET.hair,2,ldp,point_error,0.222256541342706
DATASET.hair,2,ldp,point_error,0.222315120531118
DATASET.hair,2,ldp,point_error,0.22257073880782477
DATASET.hair,2,ldp,point_error,0.2238754570951823
DATASET.hair,2,ldp,point_error,0.22214825860048992
DATASET.hair,2,ldp,point_error,0.22260624134625626
DATASET.hair,2,ldp,point_error,0.22213405758511734
DATASET.hair,2,ldp,point_error,0.22158731849327226
DATASET.hair,2,ldp,point_error,0.22188021443533212
DATASET.hair,2,ldp,point_error,0.22211453118898
DATASET.hair,3,ldp,point_error,0.22196187027372458
DATASET.hair,3,ldp,point_error,0.22124826925125146
DATASET.hair,3,ldp,point_error,0.22290446266908084
DATASET.hair,3,ldp,point_error,0.22220151240813718
DATASET.hair,3,ldp,point_error,0.221734654027763
DATASET.hair,3,ldp,point_error,0.22125714488585935
DATASET.hair,3,ldp,point_error,0.22298256825363014
DATASET.hair,3,ldp,point_error,0.221747079916214
DATASET.hair,3,ldp,point_error,0.22104590478219194
DATASET.hair,3,ldp,point_error,0.2225263606347854
DATASET.hair,4,ldp,point_error,0.22247310682713814
DATASET.hair,4,ldp,point_error,0.2213956047857422
DATASET.hair,4,ldp,point_error,0.22272872510384492
DATASET.hair,4,ldp,point_error,0.22270742358078602
DATASET.hair,4,ldp,point_error,0.22205062661980332
DATASET.hair,4,ldp,point_error,0.22294884084212022
DATASET.hair,4,ldp,point_error,0.2222654169773139
DATASET.hair,4,ldp,point_error,0.22222636418503924
DATASET.hair,4,ldp,point_error,0.22130152305889872
DATASET.hair,4,ldp,point_error,0.2222920438811375
DATASET.hair,5,ldp,point_error,0.22186423829303795
DATASET.hair,5,ldp,point_error,0.22260801647317782
DATASET.hair,5,ldp,point_error,0.22210210530052898
DATASET.hair,5,ldp,point_error,0.2209056697553875
DATASET.hair,5,ldp,point_error,0.22340504846096496
DATASET.hair,5,ldp,point_error,0.22281925657684523
DATASET.hair,5,ldp,point_error,0.22285475911527675
DATASET.hair,5,ldp,point_error,0.22151986367025242
DATASET.hair,5,ldp,point_error,0.22198494692370505
DATASET.hair,5,ldp,point_error,0.22271452408847234
DATASET.hair,1,proposed,point_error,0.34479887811978555
DATASET.hair,1,proposed,point_error,0.3454876273653566
DATASET.hair,1,proposed,point_error,0.3454308233038662
DATASET.hair,1,proposed,point_error,0.3457290446266908
DATASET.hair,1,proposed,point_error,0.3452071573117478
DATASET.hair,1,proposed,point_error,0.34598821315724076
DATASET.hair,1,proposed,point_error,0.344821954769766
DATASET.hair,1,proposed,point_error,0.3453562679731601
DATASET.hair,1,proposed,point_error,0.3450598217772571
DATASET.hair,1,proposed,point_error,0.3471100933716761
DATASET.hair,2,proposed,point_error,0.3178098484041609
DATASET.hair,2,proposed,point_error,0.31741754535449285
DATASET.hair,2,proposed,point_error,0.3183033336883587
DATASET.hair,2,proposed,point_error,0.31694181133951077
DATASET.hair,2,proposed,point_error,0.31719210423545285
DATASET.hair,2,proposed,point_error,0.3192317250683424
DATASET.hair,2,proposed,point_error,0.3182412042461036
DATASET.hair,2,proposed,point_error,0.3173926935775908
DATASET.hair,2,proposed,point_error,0.3179802605886321
DATASET.hair,2,proposed,point_error,0.31783647530798453
DATASET.hair,3,proposed,point_error,0.28509958462030033
DATASET.hair,3,proposed,point_error,0.2851102353818298
DATASET.hair,3,proposed,point_error,0.2861966130578336
DATASET.hair,3,proposed,point_error,0.2853214754854972
DATASET.hair,3,proposed,point_error,0.28554691660453724
DATASET.hair,3,proposed,point_error,0.2847427841090638
DATASET.hair,3,proposed,point_error,0.2854492846238506
DATASET.hair,3,proposed,point_error,0.28588419071963644
DATASET.hair,3,proposed,point_error,0.2856392232044591
DATASET.hair,3,proposed,point_error,0.2861717612809316
DATASET.hair,4,proposed,point_error,0.25407746653885754
DATASET.hair,4,proposed,point_error,0.25464905740760463
DATASET.hair,4,proposed,point_error,0.2542958071502112
DATASET.hair,4,proposed,point_error,0.2545247985230944
DATASET.hair,4,proposed,point_error,0.25420350055028934
DATASET.hair,4,proposed,point_error,0.25388397770440585
DATASET.hair,4,proposed,point_error,0.25496680512656655
DATASET.hair,4,proposed,point_error,0.25410409344268114
DATASET.hair,4,proposed,point_error,0.25448397060389816
DATASET.hair,4,proposed,point_error,0.25362480917385594
DATASET.hair,5,proposed,point_error,0.22646004189299535
DATASET.hair,5,proposed,point_error,0.22744701246139098
DATASET.hair,5,proposed,point_error,0.22708666169631128
DATASET.hair,5,proposed,point_error,0.2264511662583875
DATASET.hair,5,proposed,point_error,0.22794404799943196
DATASET.hair,5,proposed,point_error,0.22722334646927256
DATASET.hair,5,proposed,point_error,0.22651507082756417
DATASET.hair,5,proposed,point_error,0.22667660737742748
DATASET.hair,5,proposed,point_error,0.22685767032342813
DATASET.hair,5,proposed,point_error,0.22682039265807505
DATASET.hair,1,ldp,calc_sample_distance,0.30800759754322443
DATASET.hair,1,ldp,calc_sample_distance,0.3057638371143536
DATASET.hair,1,ldp,calc_sample_distance,0.30596620158341314
DATASET.hair,1,ldp,calc_sample_distance,0.308176234600774
DATASET.hair,1,ldp,calc_sample_distance,0.30722654169773134
DATASET.hair,1,ldp,calc_sample_distance,0.30708630667092696
DATASET.hair,1,ldp,calc_sample_distance,0.30664252494053323
DATASET.hair,1,ldp,calc_sample_distance,0.3057070330528633
DATASET.hair,1,ldp,calc_sample_distance,0.30760464373202673
DATASET.hair,1,ldp,calc_sample_distance,0.30554727162992157
DATASET.hair,2,ldp,calc_sample_distance,0.3077058259665566
DATASET.hair,2,ldp,calc_sample_distance,0.30693364575567156
DATASET.hair,2,ldp,calc_sample_distance,0.30718216352469196
DATASET.hair,2,ldp,calc_sample_distance,0.308806404657933
DATASET.hair,2,ldp,calc_sample_distance,0.3066993290020236
DATASET.hair,2,ldp,calc_sample_distance,0.30714666098626053
DATASET.hair,2,ldp,calc_sample_distance,0.3067863102211808
DATASET.hair,2,ldp,calc_sample_distance,0.30564845386445133
DATASET.hair,2,ldp,calc_sample_distance,0.30667980260588634
DATASET.hair,2,ldp,calc_sample_distance,0.30704547875173077
DATASET.hair,3,ldp,calc_sample_distance,0.3065040650406504
DATASET.hair,3,ldp,calc_sample_distance,0.3056520041182944
DATASET.hair,3,ldp,calc_sample_distance,0.30787446302410626
DATASET.hair,3,ldp,calc_sample_distance,0.3071306848439664
DATASET.hair,3,ldp,calc_sample_distance,0.306342528490787
DATASET.hair,3,ldp,calc_sample_distance,0.305783363510491
DATASET.hair,3,ldp,calc_sample_distance,0.3077182518550077
DATASET.hair,3,ldp,calc_sample_distance,0.30619519295629644
DATASET.hair,3,ldp,calc_sample_distance,0.3051531934533319
DATASET.hair,3,ldp,calc_sample_distance,0.3076419213973799
DATASET.hair,4,ldp,calc_sample_distance,0.30681826250576916
DATASET.hair,4,ldp,calc_sample_distance,0.3062306954947279
DATASET.hair,4,ldp,calc_sample_distance,0.30811765541236197
DATASET.hair,4,ldp,calc_sample_distance,0.3074928107359677
DATASET.hair,4,ldp,calc_sample_distance,0.3070064259594561
DATASET.hair,4,ldp,calc_sample_distance,0.30855788688891256
DATASET.hair,4,ldp,calc_sample_distance,0.3074555330706145
DATASET.hair,4,ldp,calc_sample_distance,0.30686796605957317
DATASET.hair,4,ldp,calc_sample_distance,0.3052597010686264
DATASET.hair,4,ldp,calc_sample_distance,0.3072016899208293
DATASET.hair,5,ldp,calc_sample_distance,0.305925373664217
DATASET.hair,5,ldp,calc_sample_distance,0.3075851173358895
DATASET.hair,5,ldp,calc_sample_distance,0.3070028757056129
DATASET.hair,5,ldp,calc_sample_distance,0.3050165086803707
DATASET.hair,5,ldp,calc_sample_distance,0.3080981290162247
DATASET.hair,5,ldp,calc_sample_distance,0.3074040543898888
DATASET.hair,5,ldp,calc_sample_distance,0.30810345439698933
DATASET.hair,5,ldp,calc_sample_distance,0.30541946249156815
DATASET.hair,5,ldp,calc_sample_distance,0.3068058366173182
DATASET.hair,5,ldp,calc_sample_distance,0.30754783967053645
DATASET.hair,1,proposed,calc_sample_distance,0.3821386729151134
DATASET.hair,1,proposed,calc_sample_distance,0.3830510881528029
DATASET.hair,1,proposed,calc_sample_distance,0.38285227393758653
DATASET.hair,1,proposed,calc_sample_distance,0.3839723790251003
DATASET.hair,1,proposed,calc_sample_distance,0.38261263180317395
DATASET.hair,1,proposed,calc_sample_distance,0.38395107750204144
DATASET.hair,1,proposed,calc_sample_distance,0.38231441048034936
DATASET.hair,1,proposed,calc_sample_distance,0.38281322114531197
DATASET.hair,1,proposed,calc_sample_distance,0.3828718003337238
DATASET.hair,1,proposed,calc_sample_distance,0.3849859764973196
DATASET.hair,2,proposed,calc_sample_distance,0.34428941669329355
DATASET.hair,2,proposed,calc_sample_distance,0.3435669400362127
DATASET.hair,2,proposed,calc_sample_distance,0.34475805020058936
DATASET.hair,2,proposed,calc_sample_distance,0.3436095430823304
DATASET.hair,2,proposed,calc_sample_distance,0.34365747150921294
DATASET.hair,2,proposed,calc_sample_distance,0.3458852557957894
DATASET.hair,2,proposed,calc_sample_distance,0.34476692583519714
DATASET.hair,2,proposed,calc_sample_distance,0.3436787730322718
DATASET.hair,2,proposed,calc_sample_distance,0.34469414563141265
