Dataset,Epsilon,Approach,MIAMethod,MIAResult,Group
hair,0.1,ldp,hamming_distance,0.8333333333333334,0
hair,0.05,ldp,hamming_distance,0.8333333333333334,0
hair,0.05,ldp,hamming_distance,0.8333333333333334,1
hair,0.05,ldp,hamming_distance,0.8333333333333334,2
hair,0.05,ldp,hamming_distance,0.8333333333333334,3
hair,0.1,ldp,hamming_distance,0.8333333333333334,1
hair,0.01,ldp,hamming_distance,0.8333333333333334,0
hair,0.01,ldp,hamming_distance,0.8333333333333334,1
hair,0.05,ldp,hamming_distance,0.8333333333333334,4
hair,0.1,ldp,hamming_distance,0.8333333333333334,2
hair,0.1,ldp,hamming_distance,0.8333333333333334,3
hair,0.01,ldp,hamming_distance,0.8333333333333334,2
hair,0.01,ldp,hamming_distance,0.8333333333333334,3
hair,0.01,ldp,hamming_distance,0.8333333333333334,4
hair,0.05,ldp,hamming_distance,0.8333333333333334,5
hair,0.01,ldp,hamming_distance,0.8333333333333334,5
hair,0.01,ldp,hamming_distance,0.8333333333333334,6
hair,0.01,ldp,hamming_distance,0.8333333333333334,7
hair,0.05,ldp,hamming_distance,0.8333333333333334,6
hair,0.05,ldp,hamming_distance,0.8333333333333334,7
hair,0.05,ldp,hamming_distance,0.8333333333333334,8
hair,0.01,ldp,hamming_distance,0.8333333333333334,8
hair,0.01,ldp,hamming_distance,0.8333333333333334,9
hair,0.05,ldp,hamming_distance,0.8333333333333334,9
hair,0.1,ldp,hamming_distance,0.8333333333333334,4
hair,0.1,ldp,hamming_distance,0.8333333333333334,5
hair,0.1,ldp,hamming_distance,0.8333333333333334,6
hair,0.1,ldp,hamming_distance,0.8333333333333334,7
hair,0.1,ldp,hamming_distance,0.8333333333333334,8
hair,0.1,ldp,hamming_distance,0.8333333333333334,9
hair,0.5,ldp,hamming_distance,0.8333333333333334,0
hair,0.5,ldp,hamming_distance,0.8333333333333334,1
hair,0.5,ldp,hamming_distance,0.8333333333333334,2
hair,0.5,ldp,hamming_distance,0.8333333333333334,3
hair,0.5,ldp,hamming_distance,0.8333333333333334,4
hair,0.5,ldp,hamming_distance,0.8333333333333334,5
hair,0.5,ldp,hamming_distance,0.8333333333333334,6
hair,0.5,ldp,hamming_distance,0.8333333333333334,7
hair,1.0,ldp,hamming_distance,0.8333333333333334,0
hair,1.0,ldp,hamming_distance,0.8333333333333334,1
hair,0.5,ldp,hamming_distance,0.8333333333333334,8
hair,1.0,ldp,hamming_distance,0.8333333333333334,2
hair,1.0,ldp,hamming_distance,0.8333333333333334,3
hair,0.5,ldp,hamming_distance,0.8333333333333334,9
hair,1.0,ldp,hamming_distance,0.8333333333333334,4
hair,1.0,ldp,hamming_distance,0.8333333333333334,5
hair,1.0,ldp,hamming_distance,0.8333333333333334,6
hair,1.0,ldp,hamming_distance,0.8333333333333334,7
hair,1.0,ldp,hamming_distance,0.8333333333333334,8
hair,1.0,ldp,hamming_distance,0.8333333333333334,9
hair,5.0,ldp,hamming_distance,0.8333333333333334,0
hair,5.0,ldp,hamming_distance,0.8333333333333334,1
hair,5.0,ldp,hamming_distance,0.8333333333333334,2
hair,5.0,ldp,hamming_distance,0.8333333333333334,3
hair,5.0,ldp,hamming_distance,0.8333333333333334,4
hair,5.0,ldp,hamming_distance,0.8333333333333334,5
hair,5.0,ldp,hamming_distance,0.8333333333333334,6
hair,5.0,ldp,hamming_distance,0.8333333333333334,7
hair,5.0,ldp,hamming_distance,0.8333333333333334,8
hair,5.0,ldp,hamming_distance,0.8333333333333334,9
hair,10.0,ldp,hamming_distance,0.8333333333333334,0
hair,10.0,ldp,hamming_distance,0.8333333333333334,1
hair,10.0,ldp,hamming_distance,0.8333333333333334,2
hair,10.0,ldp,hamming_distance,0.8333333333333334,3
hair,10.0,ldp,hamming_distance,0.8333333333333334,4
hair,10.0,ldp,hamming_distance,0.8333333333333334,5
hair,10.0,ldp,hamming_distance,0.8333333333333334,6
hair,50.0,ldp,hamming_distance,0.8333333333333334,0
hair,10.0,ldp,hamming_distance,0.8333333333333334,7
hair,10.0,ldp,hamming_distance,0.8333333333333334,8
hair,10.0,ldp,hamming_distance,0.8333333333333334,9
hair,50.0,ldp,hamming_distance,0.8333333333333334,1
hair,50.0,ldp,hamming_distance,0.8333333333333334,2
hair,50.0,ldp,hamming_distance,0.8333333333333334,3
hair,50.0,ldp,hamming_distance,0.8333333333333334,4
hair,50.0,ldp,hamming_distance,0.8333333333333334,5
hair,50.0,ldp,hamming_distance,0.8333333333333334,6
hair,50.0,ldp,hamming_distance,0.8333333333333334,7
hair,100.0,ldp,hamming_distance,0.8333333333333334,0
hair,100.0,ldp,hamming_distance,0.8333333333333334,1
hair,50.0,ldp,hamming_distance,0.8333333333333334,8
hair,50.0,ldp,hamming_distance,0.8333333333333334,9
hair,100.0,ldp,hamming_distance,0.8333333333333334,2
hair,100.0,ldp,hamming_distance,0.8333333333333334,3
hair,100.0,ldp,hamming_distance,0.8333333333333334,4
hair,100.0,ldp,hamming_distance,0.8333333333333334,5
hair,100.0,ldp,hamming_distance,0.8333333333333334,6
hair,100.0,ldp,hamming_distance,0.8333333333333334,7
hair,100.0,ldp,hamming_distance,0.8333333333333334,8
hair,100.0,ldp,hamming_distance,0.8333333333333334,9
hair,0.01,ldp,xgboost,0.0,0
hair,0.01,ldp,xgboost,0.0,1
hair,0.01,ldp,xgboost,0.0,2
hair,0.01,ldp,xgboost,0.0,3
hair,0.01,ldp,xgboost,0.0,4
hair,0.01,ldp,xgboost,0.0,5
hair,0.01,ldp,xgboost,0.0,6
hair,0.01,ldp,xgboost,0.0,7
hair,0.01,ldp,xgboost,0.0,8
hair,0.05,ldp,xgboost,0.0,0
hair,0.05,ldp,xgboost,0.0,1
hair,0.05,ldp,xgboost,0.0,2
hair,0.01,ldp,xgboost,0.0,9
hair,0.05,ldp,xgboost,0.0,3
hair,0.05,ldp,xgboost,0.0,4
hair,0.05,ldp,xgboost,0.0,5
hair,0.05,ldp,xgboost,0.0,6
hair,0.05,ldp,xgboost,0.0,7
hair,0.1,ldp,xgboost,0.0,0
hair,0.1,ldp,xgboost,0.0,1
hair,0.05,ldp,xgboost,0.0,8
hair,0.1,ldp,xgboost,0.0,2
hair,0.05,ldp,xgboost,0.0,9
hair,0.1,ldp,xgboost,0.0,3
hair,0.1,ldp,xgboost,0.0,4
hair,0.1,ldp,xgboost,0.0,5
hair,0.1,ldp,xgboost,0.0,6
hair,0.1,ldp,xgboost,0.0,7
hair,0.1,ldp,xgboost,0.0,8
hair,0.1,ldp,xgboost,0.0,9
hair,0.5,ldp,xgboost,0.0,0
hair,0.5,ldp,xgboost,0.0,1
hair,0.5,ldp,xgboost,0.0,2
hair,0.5,ldp,xgboost,0.0,3
hair,0.5,ldp,xgboost,0.0,4
hair,0.5,ldp,xgboost,0.0,5
hair,0.5,ldp,xgboost,0.0,6
hair,0.5,ldp,xgboost,0.0,7
hair,0.5,ldp,xgboost,0.0,8
hair,0.5,ldp,xgboost,0.0,9
hair,1.0,ldp,xgboost,0.0,0
hair,1.0,ldp,xgboost,0.0,1
hair,1.0,ldp,xgboost,0.0,2
hair,1.0,ldp,xgboost,0.0,3
hair,1.0,ldp,xgboost,0.0,4
hair,1.0,ldp,xgboost,0.0,5
hair,1.0,ldp,xgboost,0.0,6
hair,1.0,ldp,xgboost,0.0,7
hair,1.0,ldp,xgboost,0.0,8
hair,1.0,ldp,xgboost,0.0,9
hair,5.0,ldp,xgboost,0.9166666666666666,0
hair,5.0,ldp,xgboost,0.8333333333333334,1
hair,5.0,ldp,xgboost,0.9166666666666666,2
hair,5.0,ldp,xgboost,0.8333333333333334,3
hair,5.0,ldp,xgboost,0.9166666666666666,4
hair,5.0,ldp,xgboost,0.8333333333333334,5
hair,5.0,ldp,xgboost,0.9166666666666666,6
hair,5.0,ldp,xgboost,0.8333333333333334,7
hair,5.0,ldp,xgboost,0.9166666666666666,8
hair,10.0,ldp,xgboost,0.9166666666666666,0
hair,5.0,ldp,xgboost,0.8333333333333334,9
hair,10.0,ldp,xgboost,0.9166666666666666,1
hair,10.0,ldp,xgboost,0.9166666666666666,2
hair,10.0,ldp,xgboost,0.9166666666666666,3
hair,10.0,ldp,xgboost,0.9166666666666666,4
hair,10.0,ldp,xgboost,0.9166666666666666,5
hair,10.0,ldp,xgboost,0.9166666666666666,6
hair,10.0,ldp,xgboost,0.9166666666666666,7
hair,10.0,ldp,xgboost,0.9166666666666666,8
hair,10.0,ldp,xgboost,0.9166666666666666,9
hair,50.0,ldp,xgboost,0.9166666666666666,0
hair,50.0,ldp,xgboost,0.9166666666666666,1
hair,50.0,ldp,xgboost,0.9166666666666666,2
hair,50.0,ldp,xgboost,0.9166666666666666,3
hair,50.0,ldp,xgboost,0.9166666666666666,4
hair,50.0,ldp,xgboost,0.9166666666666666,5
hair,50.0,ldp,xgboost,0.9166666666666666,6
hair,50.0,ldp,xgboost,0.9166666666666666,7
hair,50.0,ldp,xgboost,0.9166666666666666,8
hair,50.0,ldp,xgboost,0.9166666666666666,9
hair,100.0,ldp,xgboost,0.9166666666666666,0
hair,100.0,ldp,xgboost,0.9166666666666666,1
hair,100.0,ldp,xgboost,0.9166666666666666,2
hair,100.0,ldp,xgboost,0.9166666666666666,3
hair,100.0,ldp,xgboost,0.9166666666666666,4
hair,100.0,ldp,xgboost,0.9166666666666666,5
hair,100.0,ldp,xgboost,0.9166666666666666,6
hair,100.0,ldp,xgboost,0.9166666666666666,7
hair,100.0,ldp,xgboost,0.9166666666666666,8
hair,100.0,ldp,xgboost,0.9166666666666666,9
hair,0.01,ldp,decision_tree,0.0,0
hair,0.01,ldp,decision_tree,0.1666666666666666,1
hair,0.01,ldp,decision_tree,0.0833333333333333,2
hair,0.01,ldp,decision_tree,0.1666666666666666,3
hair,0.01,ldp,decision_tree,0.0833333333333333,4
hair,0.01,ldp,decision_tree,0.0,5
hair,0.01,ldp,decision_tree,0.0,6
hair,0.01,ldp,decision_tree,0.0,7
hair,0.01,ldp,decision_tree,0.0,8
hair,0.01,ldp,decision_tree,0.0,9
hair,0.05,ldp,decision_tree,0.25,0
hair,0.05,ldp,decision_tree,0.0,1
hair,0.05,ldp,decision_tree,0.0,2
hair,0.05,ldp,decision_tree,0.0,3
hair,0.05,ldp,decision_tree,0.0833333333333333,4
hair,0.05,ldp,decision_tree,0.0833333333333333,5
hair,0.05,ldp,decision_tree,0.1666666666666666,6
hair,0.05,ldp,decision_tree,0.0833333333333333,7
hair,0.1,ldp,decision_tree,0.0,0
hair,0.05,ldp,decision_tree,0.0,8
hair,0.1,ldp,decision_tree,0.0,1
hair,0.1,ldp,decision_tree,0.0833333333333333,2
hair,0.1,ldp,decision_tree,0.0,3
hair,0.05,ldp,decision_tree,0.0833333333333333,9
hair,0.1,ldp,decision_tree,0.0,4
hair,0.1,ldp,decision_tree,0.0,5
hair,0.1,ldp,decision_tree,0.1666666666666666,6
hair,0.1,ldp,decision_tree,0.0833333333333333,7
hair,0.1,ldp,decision_tree,0.0833333333333333,8
hair,0.1,ldp,decision_tree,0.0,9
hair,0.5,ldp,decision_tree,0.0,0
hair,0.5,ldp,decision_tree,0.0,1
hair,0.5,ldp,decision_tree,0.0,2
hair,0.5,ldp,decision_tree,0.0833333333333333,3
hair,0.5,ldp,decision_tree,0.0,4
hair,0.5,ldp,decision_tree,0.0833333333333333,5
hair,0.5,ldp,decision_tree,0.0,6
hair,0.5,ldp,decision_tree,0.0833333333333333,7
hair,0.5,ldp,decision_tree,0.0833333333333333,8
hair,1.0,ldp,decision_tree,0.0833333333333333,0
hair,0.5,ldp,decision_tree,0.0,9
hair,1.0,ldp,decision_tree,0.1666666666666666,1
hair,1.0,ldp,decision_tree,0.25,2
hair,1.0,ldp,decision_tree,0.0833333333333333,3
hair,1.0,ldp,decision_tree,0.0,4
hair,1.0,ldp,decision_tree,0.0,5
hair,1.0,ldp,decision_tree,0.1666666666666666,6
hair,1.0,ldp,decision_tree,0.0,7
hair,1.0,ldp,decision_tree,0.0833333333333333,8
hair,1.0,ldp,decision_tree,0.0833333333333333,9
hair,5.0,ldp,decision_tree,0.8333333333333334,0
hair,5.0,ldp,decision_tree,0.75,1
hair,5.0,ldp,decision_tree,0.8333333333333334,2
hair,5.0,ldp,decision_tree,0.6666666666666666,3
hair,5.0,ldp,decision_tree,1.0,4
hair,5.0,ldp,decision_tree,0.75,5
hair,5.0,ldp,decision_tree,0.8333333333333334,6
hair,5.0,ldp,decision_tree,0.8333333333333334,7
hair,5.0,ldp,decision_tree,0.9166666666666666,8
hair,5.0,ldp,decision_tree,0.75,9
hair,10.0,ldp,decision_tree,0.9166666666666666,0
hair,10.0,ldp,decision_tree,0.9166666666666666,1
hair,10.0,ldp,decision_tree,0.9166666666666666,2
hair,10.0,ldp,decision_tree,0.9166666666666666,3
hair,10.0,ldp,decision_tree,0.9166666666666666,4
hair,10.0,ldp,decision_tree,0.9166666666666666,5
hair,10.0,ldp,decision_tree,0.9166666666666666,6
hair,10.0,ldp,decision_tree,0.9166666666666666,7
hair,10.0,ldp,decision_tree,0.9166666666666666,8
hair,10.0,ldp,decision_tree,0.9166666666666666,9
hair,50.0,ldp,decision_tree,0.9166666666666666,0
hair,50.0,ldp,decision_tree,0.9166666666666666,1
hair,50.0,ldp,decision_tree,0.9166666666666666,2
hair,50.0,ldp,decision_tree,0.9166666666666666,3
hair,50.0,ldp,decision_tree,0.9166666666666666,4
hair,50.0,ldp,decision_tree,0.9166666666666666,5
hair,50.0,ldp,decision_tree,0.9166666666666666,6
hair,50.0,ldp,decision_tree,0.9166666666666666,7
hair,50.0,ldp,decision_tree,0.9166666666666666,8
hair,50.0,ldp,decision_tree,0.9166666666666666,9
hair,100.0,ldp,decision_tree,0.9166666666666666,0
hair,100.0,ldp,decision_tree,0.9166666666666666,1
hair,100.0,ldp,decision_tree,0.9166666666666666,2
hair,100.0,ldp,decision_tree,0.9166666666666666,3
hair,100.0,ldp,decision_tree,0.9166666666666666,4
hair,100.0,ldp,decision_tree,0.9166666666666666,5
hair,100.0,ldp,decision_tree,0.9166666666666666,6
hair,100.0,ldp,decision_tree,0.9166666666666666,7
hair,100.0,ldp,decision_tree,0.9166666666666666,8
hair,100.0,ldp,decision_tree,0.9166666666666666,9
hair,0.01,ldp,random_forest,0.0,0
hair,0.01,ldp,random_forest,0.0,1
hair,0.01,ldp,random_forest,0.0,2
hair,0.01,ldp,random_forest,0.0,3
hair,0.01,ldp,random_forest,0.0,4
hair,0.01,ldp,random_forest,0.0,5
hair,0.01,ldp,random_forest,0.0,6
hair,0.01,ldp,random_forest,0.0,7
hair,0.05,ldp,random_forest,0.0,0
hair,0.01,ldp,random_forest,0.0,8
hair,0.01,ldp,random_forest,0.0,9
hair,0.05,ldp,random_forest,0.0,1
hair,0.05,ldp,random_forest,0.0,2
hair,0.05,ldp,random_forest,0.0,3
hair,0.05,ldp,random_forest,0.0,4
hair,0.05,ldp,random_forest,0.0,5
hair,0.05,ldp,random_forest,0.0,6
hair,0.05,ldp,random_forest,0.0,7
hair,0.05,ldp,random_forest,0.0,8
hair,0.05,ldp,random_forest,0.0,9
hair,0.1,ldp,random_forest,0.0,0
hair,0.1,ldp,random_forest,0.0,1
hair,0.1,ldp,random_forest,0.0,2
hair,0.1,ldp,random_forest,0.0,3
hair,0.1,ldp,random_forest,0.0,4
hair,0.1,ldp,random_forest,0.0,5
hair,0.1,ldp,random_forest,0.0,6
hair,0.1,ldp,random_forest,0.0,7
hair,0.1,ldp,random_forest,0.0,8
hair,0.1,ldp,random_forest,0.0,9
hair,0.5,ldp,random_forest,0.0,0
hair,0.5,ldp,random_forest,0.0,1
hair,0.5,ldp,random_forest,0.0,2
hair,0.5,ldp,random_forest,0.0,3
hair,0.5,ldp,random_forest,0.0,4
hair,0.5,ldp,random_forest,0.0,5
hair,0.5,ldp,random_forest,0.0,6
hair,0.5,ldp,random_forest,0.0,7
hair,0.5,ldp,random_forest,0.0,8
hair,0.5,ldp,random_forest,0.0,9
hair,1.0,ldp,random_forest,0.0,0
hair,1.0,ldp,random_forest,0.0,1
hair,1.0,ldp,random_forest,0.0,2
hair,1.0,ldp,random_forest,0.0,3
hair,1.0,ldp,random_forest,0.0,4
hair,1.0,ldp,random_forest,0.0,5
hair,1.0,ldp,random_forest,0.0,6
hair,1.0,ldp,random_forest,0.0,7
hair,1.0,ldp,random_forest,0.0,8
hair,1.0,ldp,random_forest,0.0,9
hair,5.0,ldp,random_forest,0.5833333333333334,0
hair,5.0,ldp,random_forest,0.5833333333333334,1
hair,5.0,ldp,random_forest,0.5833333333333334,2
hair,5.0,ldp,random_forest,0.6666666666666666,3
hair,5.0,ldp,random_forest,0.6666666666666666,4
hair,5.0,ldp,random_forest,0.6666666666666666,5
hair,5.0,ldp,random_forest,0.5,6
