Dataset,Epsilon,Approach,MIAMethod,MIAResult,Group
hair,1,ldp,hamming_distance,0.8333333333333334,1.0
hair,1,ldp,hamming_distance,0.8333333333333334,0.0
hair,1,ldp,hamming_distance,0.8333333333333334,9.0
hair,1,ldp,hamming_distance,0.8333333333333334,4.0
hair,1,ldp,hamming_distance,0.8333333333333334,6.0
hair,1,ldp,hamming_distance,0.8333333333333334,5.0
hair,1,ldp,hamming_distance,0.8333333333333334,3.0
hair,1,ldp,hamming_distance,0.8333333333333334,7.0
hair,1,ldp,hamming_distance,0.8333333333333334,2.0
hair,1,ldp,hamming_distance,0.8333333333333334,8.0
hair,2,ldp,hamming_distance,0.8333333333333334,1.0
hair,2,ldp,hamming_distance,0.8333333333333334,3.0
hair,2,ldp,hamming_distance,0.8333333333333334,6.0
hair,2,ldp,hamming_distance,0.8333333333333334,9.0
hair,2,ldp,hamming_distance,0.8333333333333334,2.0
hair,2,ldp,hamming_distance,0.8333333333333334,5.0
hair,2,ldp,hamming_distance,0.8333333333333334,4.0
hair,2,ldp,hamming_distance,0.8333333333333334,8.0
hair,2,ldp,hamming_distance,0.8333333333333334,0.0
hair,2,ldp,hamming_distance,0.8333333333333334,7.0
hair,3,ldp,hamming_distance,0.8333333333333334,0.0
hair,3,ldp,hamming_distance,0.8333333333333334,1.0
hair,3,ldp,hamming_distance,0.8333333333333334,2.0
hair,3,ldp,hamming_distance,0.8333333333333334,5.0
hair,3,ldp,hamming_distance,0.8333333333333334,3.0
hair,3,ldp,hamming_distance,0.8333333333333334,4.0
hair,3,ldp,hamming_distance,0.8333333333333334,7.0
hair,3,ldp,hamming_distance,0.8333333333333334,9.0
hair,3,ldp,hamming_distance,0.8333333333333334,8.0
hair,3,ldp,hamming_distance,0.8333333333333334,6.0
hair,4,ldp,hamming_distance,0.8333333333333334,0.0
hair,4,ldp,hamming_distance,0.8333333333333334,2.0
hair,4,ldp,hamming_distance,0.8333333333333334,4.0
hair,4,ldp,hamming_distance,0.8333333333333334,1.0
hair,4,ldp,hamming_distance,0.8333333333333334,7.0
hair,4,ldp,hamming_distance,0.8333333333333334,3.0
hair,4,ldp,hamming_distance,0.8333333333333334,8.0
hair,4,ldp,hamming_distance,0.8333333333333334,6.0
hair,4,ldp,hamming_distance,0.8333333333333334,5.0
hair,4,ldp,hamming_distance,0.8333333333333334,9.0
hair,5,ldp,hamming_distance,0.8333333333333334,0.0
hair,5,ldp,hamming_distance,0.8333333333333334,1.0
hair,5,ldp,hamming_distance,0.8333333333333334,3.0
hair,5,ldp,hamming_distance,0.8333333333333334,2.0
hair,5,ldp,hamming_distance,0.8333333333333334,5.0
hair,5,ldp,hamming_distance,0.8333333333333334,4.0
hair,5,ldp,hamming_distance,0.8333333333333334,8.0
hair,5,ldp,hamming_distance,0.8333333333333334,6.0
hair,5,ldp,hamming_distance,0.8333333333333334,7.0
hair,5,ldp,hamming_distance,0.8333333333333334,9.0
hair,1,proposed,hamming_distance,0.25,2.0
hair,1,proposed,hamming_distance,0.16666666666666666,1.0
hair,1,proposed,hamming_distance,0.25,0.0
hair,1,proposed,hamming_distance,0.25,3.0
hair,1,proposed,hamming_distance,0.25,4.0
hair,1,proposed,hamming_distance,0.16666666666666666,7.0
hair,1,proposed,hamming_distance,0.25,6.0
hair,1,proposed,hamming_distance,0.3333333333333333,5.0
hair,1,proposed,hamming_distance,0.25,8.0
hair,1,proposed,hamming_distance,0.25,9.0
hair,2,proposed,hamming_distance,0.3333333333333333,1.0
hair,2,proposed,hamming_distance,0.4166666666666667,3.0
hair,2,proposed,hamming_distance,0.4166666666666667,2.0
hair,2,proposed,hamming_distance,0.3333333333333333,0.0
hair,2,proposed,hamming_distance,0.3333333333333333,4.0
hair,2,proposed,hamming_distance,0.3333333333333333,6.0
hair,2,proposed,hamming_distance,0.4166666666666667,7.0
hair,2,proposed,hamming_distance,0.3333333333333333,8.0
hair,2,proposed,hamming_distance,0.3333333333333333,5.0
hair,2,proposed,hamming_distance,0.3333333333333333,9.0
hair,3,proposed,hamming_distance,0.8333333333333334,5.0
hair,3,proposed,hamming_distance,0.8333333333333334,1.0
hair,3,proposed,hamming_distance,0.8333333333333334,3.0
hair,3,proposed,hamming_distance,0.8333333333333334,2.0
hair,3,proposed,hamming_distance,0.8333333333333334,0.0
hair,3,proposed,hamming_distance,0.8333333333333334,6.0
hair,3,proposed,hamming_distance,0.8333333333333334,9.0
hair,3,proposed,hamming_distance,0.8333333333333334,8.0
hair,3,proposed,hamming_distance,0.8333333333333334,7.0
hair,3,proposed,hamming_distance,0.8333333333333334,4.0
hair,4,proposed,hamming_distance,0.8333333333333334,2.0
hair,4,proposed,hamming_distance,0.8333333333333334,4.0
hair,4,proposed,hamming_distance,0.8333333333333334,1.0
hair,4,proposed,hamming_distance,0.8333333333333334,5.0
hair,4,proposed,hamming_distance,0.8333333333333334,0.0
hair,4,proposed,hamming_distance,0.8333333333333334,3.0
hair,4,proposed,hamming_distance,0.8333333333333334,7.0
hair,4,proposed,hamming_distance,0.8333333333333334,6.0
hair,4,proposed,hamming_distance,0.8333333333333334,8.0
hair,4,proposed,hamming_distance,0.8333333333333334,9.0
hair,5,proposed,hamming_distance,0.8333333333333334,0.0
hair,5,proposed,hamming_distance,0.8333333333333334,2.0
hair,5,proposed,hamming_distance,0.8333333333333334,1.0
hair,5,proposed,hamming_distance,0.8333333333333334,5.0
hair,5,proposed,hamming_distance,0.8333333333333334,6.0
hair,5,proposed,hamming_distance,0.8333333333333334,4.0
hair,5,proposed,hamming_distance,0.8333333333333334,3.0
hair,5,proposed,hamming_distance,0.8333333333333334,8.0
hair,5,proposed,hamming_distance,0.8333333333333334,7.0
hair,5,proposed,hamming_distance,0.8333333333333334,9.0
hair,1,ldp,xgboost,0.0,0.0
hair,1,ldp,xgboost,0.0,3.0
hair,1,ldp,xgboost,0.0,6.0
hair,1,ldp,xgboost,0.08333333333333333,9.0
hair,1,ldp,xgboost,0.08333333333333333,1.0
hair,1,ldp,xgboost,0.0,7.0
hair,1,ldp,xgboost,0.0,5.0
hair,1,ldp,xgboost,0.08333333333333333,4.0
hair,1,ldp,xgboost,0.0,2.0
hair,1,ldp,xgboost,0.16666666666666666,8.0
hair,2,ldp,xgboost,0.08333333333333333,0.0
hair,2,ldp,xgboost,0.08333333333333333,1.0
hair,2,ldp,xgboost,0.08333333333333333,9.0
hair,2,ldp,xgboost,0.08333333333333333,8.0
hair,2,ldp,xgboost,0.0,5.0
hair,2,ldp,xgboost,0.0,4.0
hair,2,ldp,xgboost,0.0,2.0
hair,2,ldp,xgboost,0.08333333333333333,6.0
