,Dataset,Epsilon,Approach,MIAMethod,MIAResult,Group
0,hair,0.1,ldp,hamming_distance,0.8333333333333334,0
1,hair,0.05,ldp,hamming_distance,0.8333333333333334,0
2,hair,0.05,ldp,hamming_distance,0.8333333333333334,1
3,hair,0.05,ldp,hamming_distance,0.8333333333333334,2
4,hair,0.05,ldp,hamming_distance,0.8333333333333334,3
5,hair,0.1,ldp,hamming_distance,0.8333333333333334,1
6,hair,0.01,ldp,hamming_distance,0.8333333333333334,0
7,hair,0.01,ldp,hamming_distance,0.8333333333333334,1
8,hair,0.05,ldp,hamming_distance,0.8333333333333334,4
9,hair,0.1,ldp,hamming_distance,0.8333333333333334,2
10,hair,0.1,ldp,hamming_distance,0.8333333333333334,3
11,hair,0.01,ldp,hamming_distance,0.8333333333333334,2
12,hair,0.01,ldp,hamming_distance,0.8333333333333334,3
13,hair,0.01,ldp,hamming_distance,0.8333333333333334,4
14,hair,0.05,ldp,hamming_distance,0.8333333333333334,5
15,hair,0.01,ldp,hamming_distance,0.8333333333333334,5
16,hair,0.01,ldp,hamming_distance,0.8333333333333334,6
17,hair,0.01,ldp,hamming_distance,0.8333333333333334,7
18,hair,0.05,ldp,hamming_distance,0.8333333333333334,6
19,hair,0.05,ldp,hamming_distance,0.8333333333333334,7
20,hair,0.05,ldp,hamming_distance,0.8333333333333334,8
21,hair,0.01,ldp,hamming_distance,0.8333333333333334,8
22,hair,0.01,ldp,hamming_distance,0.8333333333333334,9
23,hair,0.05,ldp,hamming_distance,0.8333333333333334,9
24,hair,0.1,ldp,hamming_distance,0.8333333333333334,4
25,hair,0.1,ldp,hamming_distance,0.8333333333333334,5
26,hair,0.1,ldp,hamming_distance,0.8333333333333334,6
27,hair,0.1,ldp,hamming_distance,0.8333333333333334,7
28,hair,0.1,ldp,hamming_distance,0.8333333333333334,8
29,hair,0.1,ldp,hamming_distance,0.8333333333333334,9
30,hair,0.5,ldp,hamming_distance,0.8333333333333334,0
31,hair,0.5,ldp,hamming_distance,0.8333333333333334,1
32,hair,0.5,ldp,hamming_distance,0.8333333333333334,2
33,hair,0.5,ldp,hamming_distance,0.8333333333333334,3
34,hair,0.5,ldp,hamming_distance,0.8333333333333334,4
35,hair,0.5,ldp,hamming_distance,0.8333333333333334,5
36,hair,0.5,ldp,hamming_distance,0.8333333333333334,6
37,hair,0.5,ldp,hamming_distance,0.8333333333333334,7
38,hair,1.0,ldp,hamming_distance,0.8333333333333334,0
39,hair,1.0,ldp,hamming_distance,0.8333333333333334,1
40,hair,0.5,ldp,hamming_distance,0.8333333333333334,8
41,hair,1.0,ldp,hamming_distance,0.8333333333333334,2
42,hair,1.0,ldp,hamming_distance,0.8333333333333334,3
43,hair,0.5,ldp,hamming_distance,0.8333333333333334,9
44,hair,1.0,ldp,hamming_distance,0.8333333333333334,4
45,hair,1.0,ldp,hamming_distance,0.8333333333333334,5
46,hair,1.0,ldp,hamming_distance,0.8333333333333334,6
47,hair,1.0,ldp,hamming_distance,0.8333333333333334,7
48,hair,1.0,ldp,hamming_distance,0.8333333333333334,8
49,hair,1.0,ldp,hamming_distance,0.8333333333333334,9
50,hair,5.0,ldp,hamming_distance,0.8333333333333334,0
51,hair,5.0,ldp,hamming_distance,0.8333333333333334,1
52,hair,5.0,ldp,hamming_distance,0.8333333333333334,2
53,hair,5.0,ldp,hamming_distance,0.8333333333333334,3
54,hair,5.0,ldp,hamming_distance,0.8333333333333334,4
55,hair,5.0,ldp,hamming_distance,0.8333333333333334,5
56,hair,5.0,ldp,hamming_distance,0.8333333333333334,6
57,hair,5.0,ldp,hamming_distance,0.8333333333333334,7
